,index,Titre,Année,Genres,Synopsis,Note,Votes,Popularité,Durée,youtube_url,poster_url,id,Budget,Recette,Synopsis_fr
136,146,Les Gros Patinent Bien,2022,Comédie,,9.3,3.0,0.0434,80.0,https://www.youtube.com/watch?v=KinmrKYZZCQ,https://image.tmdb.org/t/p/w500/ehCvnPX5b7KZFwLGancWeVbWOxh.jpg,1386638,0.0,0.0,
137,147,I Love Périgord,2011,Comédie,,7.8,2.0,0.4183,95.0,,https://image.tmdb.org/t/p/w500/tzcdobGEDkAf28Qm94N3MzWRtu8.jpg,76453,0.0,0.0,
138,149,De Caunes-Garcia - Le meilleur de nulle part ailleurs,2004,Comédie,"For seven years, Antoine de Caunes and José Garcia made their mark on French comedy history each evening in prime-time on their show, ""Nulle part Ailleurs"".",7.0,34.0,0.4984,360.0,,https://image.tmdb.org/t/p/w500/mK9ER5PgWpQvxF4ejTDgP8JBKt4.jpg,76873,0.0,0.0,"Pendant sept ans, Antoine de Caunes et José Garcia ont marqué l'histoire de la comédie française chaque soir en prime time dans leur émission ""Nulle part Ailleurs""."
139,150,Laurent Gerra à l'Olympia,2000,Comédie,,8.5,2.0,0.0511,120.0,,https://image.tmdb.org/t/p/w500/iiX6A2eirhGGZMuNqMLMPlJoOko.jpg,76895,0.0,0.0,
140,151,Osmose,2004,Comédie | Romance | Drame,"Abel awash in his conquests phone numbers, Remi raises metaphysical questions about his look, Lucia movie fan obscure authors while its Fab him is he loves boxing. Between party, laundromat and small cafe in the sun chronicle their friendship and their complicity.",7.0,2.0,0.2419,75.0,,https://image.tmdb.org/t/p/w500/uY9uMAu9As5gnzndiI5glST1rsw.jpg,77284,0.0,0.0,"Abel inondé de ses numéros de téléphone de conquêtes, Rémi se pose des questions métaphysiques sur son look, Lucia cinéphile des auteurs obscurs alors que son Fab lui est il adore la boxe. Entre fête, laverie et petit café au soleil racontent leur amitié et leur complicité."
141,152,Intouchables,2011,Drame | Comédie,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,8.269,18331.0,18.7305,112.0,https://www.youtube.com/watch?v=cXu2MhWYUuE,https://image.tmdb.org/t/p/w500/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,77338,13000000.0,426590315.0,L'histoire vraie de deux hommes qui n'auraient jamais dû se rencontrer : un aristocrate tétraplégique blessé dans un accident de parapente et un jeune homme des cités.
142,153,Guillaume Wagner - Cinglant,2015,Comédie,"Renowned for his precision and corrosive humor, Guillaume Wagner boldly tackles subjects such as homophobia, the evolution of our collective rituals and superficiality. Without falling into cynicism, he skillfully laughs at our individual and collective failings, without forgetting to include himself in the process. Winner of three prestigious awards for emerging artists, he has won over an already loyal audience that has been eagerly awaiting this very first show. As he says himself, Cinglant is a show for everyone, but not for everyone.",7.5,2.0,0.0338,103.0,https://www.youtube.com/watch?v=Oayy1IfGg2A,https://image.tmdb.org/t/p/w500/lWYhWOf6O9rKE8EX00BpB6GLVjc.jpg,339844,0.0,0.0,"Réputé pour sa précision et son humour corrosif, Guillaume Wagner aborde avec audace des sujets tels que l'homophobie, l'évolution de nos rituels collectifs et la superficialité. Sans tomber dans le cynisme, il rit habilement de nos échecs individuels et collectifs, sans oublier de s'inclure dans la démarche. Lauréat de trois prix prestigieux décernés à des artistes émergents, il a conquis un public déjà fidèle qui attendait avec impatience ce tout premier spectacle. Comme il le dit lui-même, Cinglant est un spectacle pour tout le monde, mais pas pour tout le monde."
143,154,Mustapha El Atrassi - Second Degré,2015,Comédie,"Today, freer than ever, Mustapha finally allows himself to practice the humor he naturally has in life.",8.0,3.0,0.0281,61.0,,https://image.tmdb.org/t/p/w500/6k5hMIIH4WGQCHA2eVczVJJ3sQW.jpg,340014,0.0,0.0,"Aujourd'hui, plus libre que jamais, Mustapha s'autorise enfin à pratiquer l'humour qu'il a naturellement dans la vie."
144,155,Poulet aux Prunes,2011,Comédie | Drame,"Since his beloved violin was broken, Nasser-Ali Khan, one of the most renowned musicians of his day, has lost all taste for life. Finding no instrument worthy of replacing it, he decides to confine himself to bed to await death.",7.038,184.0,0.9247,93.0,https://www.youtube.com/watch?v=70PhM0E8mZ0,https://image.tmdb.org/t/p/w500/fj7DKP9Bpzxf2lOAWOyLWR0khff.jpg,78206,12000000.0,3265941.0,"Depuis que son violon bien-aimé a été brisé, Nasser-Ali Khan, l'un des musiciens les plus renommés de son époque, a perdu tout goût à la vie. Ne trouvant aucun instrument digne de le remplacer, il décide de se confiner au lit en attendant la mort."
145,156,Avril et le monde truqué,2015,Thriller | Aventure | Animation | Comédie | Fantastique | Science-Fiction,"It's 1941, but France is trapped in the 19th Century, governed by steam and Napoleon V. Avril, a teenage girl, goes in search of her missing scientist parents.",7.1,354.0,1.3848,105.0,https://www.youtube.com/watch?v=0CeRmyassi4,https://image.tmdb.org/t/p/w500/8bTxUAoDhUGx2lL6KfcoiZNqepM.jpg,340357,10000000.0,0.0,"Nous sommes en 1941, mais la France est coincée dans le XIXe siècle, gouvernée par la vapeur et Napoléon V. Avril, une adolescente, part à la recherche de ses parents scientifiques disparus."
146,157,Des nouvelles du bon Dieu,1996,Comédie,"When novelist Alessandro Battavia commits suicide, a taxi driver named Evangile and her brother Nord believe they are characters imagined in a novel, probably one written by God.",7.2,10.0,0.335,100.0,,https://image.tmdb.org/t/p/w500/9OxKN5VoDgGkrvtt417qG9D0x3L.jpg,78496,0.0,0.0,"Lorsque le romancier Alessandro Battavia se suicide, Evangile, un chauffeur de taxi, et son frère Nord croient qu'ils sont des personnages imaginés dans un roman, probablement écrit par Dieu."
147,158,Solitarium,2025,Comédie | Drame,"An epic mosaic of lonely people with crossed destinies who set their sights on Arthur Morhan, a psychoanalyst on the verge of a breakdown.",7.5,2.0,0.085,117.0,,https://image.tmdb.org/t/p/w500/lZl2e7jMHLDRXjxHToH6tWvRetl.jpg,1389337,0.0,0.0,"Une mosaïque épique de solitaires aux destins croisés qui jettent leur dévolu sur Arthur Morhan, un psychanalyste au bord de la dépression."
148,159,La Folle Soirée du Palmashow 2,2015,Comédie | Familial,,7.3,43.0,0.1639,90.0,,https://image.tmdb.org/t/p/w500/dhNlfBgxh1lYpBw2N9X7lXozxhu.jpg,340963,0.0,0.0,
149,160,C'est la vie,2001,Drame | Comédie,"Dimitri joins La Maison, a place where people are welcomed for whom medicine can not do anything anymore. There he meets Suzanne, a volunteer who is dedicated to supporting people at the end of their lives.",7.0,18.0,0.3834,113.0,https://www.youtube.com/watch?v=j0mY5Xb-5ZA,https://image.tmdb.org/t/p/w500/lL8djpTjfUoOKeFyiJnZiMwxL87.jpg,79048,0.0,0.0,"Dimitri rejoint La Maison, lieu d'accueil des personnes pour lesquelles la médecine ne peut plus rien. Il y rencontre Suzanne, une bénévole qui se consacre à l'accompagnement des personnes en fin de vie."
150,162,Patrick Timsit - The One Man Stand-Up Show,2008,Comédie,"13 ans après son dernier spectacle, Patrick Timsit remonte enfin sur scène avec un nouveau one man show, plus drôle et plus corrosif que jamais...",7.0,4.0,0.0389,90.0,,https://image.tmdb.org/t/p/w500/cKWClBG8q8f8qQ9C0MccmjvjNW8.jpg,81606,0.0,0.0,"13 ans après son dernier spectacle, Patrick Timsit remonte enfin sur scène avec un nouveau one man show, plus drôle et plus corrosif que jamais..."
151,163,One More Joke à la tour Eiffel Paris rétro,2023,Comédie,,8.0,2.0,0.0759,80.0,https://www.youtube.com/watch?v=IPXVaxm91EA,https://image.tmdb.org/t/p/w500/vspEEwjx4wprh3oFV5fllZFQJIh.jpg,1130379,0.0,0.0,
152,164,La crème de caméra café,2003,Comédie,,7.2,6.0,0.2635,68.0,,https://image.tmdb.org/t/p/w500/lmtmjbf0ARDjtG7uHUQCAE7WpZX.jpg,82275,0.0,0.0,
153,165,Fugueuses,2008,Comédie,,9.2,6.0,0.1429,115.0,,https://image.tmdb.org/t/p/w500/y2TyZwtudD35gxViGlYbSyHqjTO.jpg,83076,0.0,0.0,
154,166,Number One,2008,Comédie,"Aziz, a Moroccan macho, is changed to a ""super feminist"" after his wife casts a spell on him.",7.8,2.0,0.2672,86.0,,https://image.tmdb.org/t/p/w500/uv4GLBzHkt9vL1ueTGrDSLpyMeW.jpg,83424,0.0,0.0,"Aziz, un macho marocain, est transformé en ""super féministe"" après que sa femme lui ait jeté un sort."
155,167,Une journée ordinaire,2013,Comédie,"Recorded in théâtre des Lices in Albi,  8 February 2014  A 20 year old girl, who lives with her father, widowed for twelve years, decides to leave the nest. She is in love and in love with freedom.  With this departure, which is close to her heart, she wishes to conquer her autonomy and move in with her other half. But it is a delicate moment to manage for the pair, hitherto very united.  How to get out of the fusional and loving relationship which links her to her father, a hard and fragile man at the same time, who does not intend to let her go like that?  She then offers him a market ...  To your Happiness, to your Laughs, Ready! Go!",7.3,3.0,0.0809,90.0,,https://image.tmdb.org/t/p/w500/h4wrBboWeqxeD48cAsUZ4NQXRLX.jpg,345691,0.0,0.0,"Enregistré au théâtre des Lices à Albi, le 8 février 2014 Une jeune fille de 20 ans, qui vit avec son père, veuf depuis douze ans, décide de quitter le nid. Elle est amoureuse et amoureuse de la liberté.  Avec ce départ qui lui tient à cœur, elle souhaite conquérir son autonomie et emménager avec sa moitié. Mais c’est un moment délicat à gérer pour le couple, jusqu’ici très soudé.  Comment sortir de la relation fusionnelle et amoureuse qui la lie à son père, un homme dur et fragile à la fois, qui ne compte pas la laisser partir ainsi ?  Elle lui propose alors un marché... À votre Bonheur, à vos Rires, Prêts ! Aller!"
156,168,Thomas VDB - Bon Chienchien,2019,Comédie,,7.2,10.0,0.088,80.0,,https://image.tmdb.org/t/p/w500/iq4JEg3blyAtJoOYY7dSG6erSEH.jpg,608110,0.0,0.0,
157,169,Jamel et ses amis au Marrakech du rire 2015,2015,Comédie,,7.0,19.0,0.2519,120.0,,https://image.tmdb.org/t/p/w500/s6svPhNIitzbbvUGQ6eAe3tpGhJ.jpg,347355,0.0,0.0,
158,170,Les Guignols - Putain 30 ans !,2019,Comédie,,8.5,2.0,0.2228,480.0,,https://image.tmdb.org/t/p/w500/nNfwzSzDTKAnIocGuho9L0kkJmP.jpg,610676,0.0,0.0,
159,171,Groland - 15 ans d'âge... bête,2007,Comédie,,8.2,2.0,0.1688,188.0,,https://image.tmdb.org/t/p/w500/25ygxvpwi4WAHITAsighvNtrr5S.jpg,86966,0.0,0.0,
160,172,Ollie,2025,Comédie | Drame,"The story revolves around Pierre who is 13 years old when he loses his mother. He’s a shy boy who lives only for his passion: skateboarding. Thirty-something Bertrand is a seasonal worker on Pierre’s father’s farm. United by their shared passion of skateboarding, they look to one another for the strength to rebuild and assert themselves, and to try to face up to their impossible losses.",7.0,8.0,0.3313,102.0,https://www.youtube.com/watch?v=OIQQKcTaLPY,https://image.tmdb.org/t/p/w500/h7VUWW67SMygAUQYhGKAU24caZw.jpg,1135569,0.0,0.0,"L'histoire tourne autour de Pierre qui a 13 ans lorsqu'il perd sa mère. C'est un garçon timide qui ne vit que pour sa passion : le skateboard. Bertrand, la trentaine, est saisonnier dans la ferme du père de Pierre. Unis par leur passion commune du skateboard, ils se tournent vers l'autre pour trouver la force de se reconstruire, de s'affirmer et de tenter de faire face à leurs impossibles pertes."
161,173,Miss,2020,Comédie | Drame,A young man seeking his sexual identity decides to take part in the Miss France beauty pageant.,7.2,158.0,0.7684,107.0,https://www.youtube.com/watch?v=2ssRACqoE70,https://image.tmdb.org/t/p/w500/fAXgta3EKncuvZeZFjT47GnVqi0.jpg,611751,0.0,0.0,Un jeune homme en quête de son identité sexuelle décide de participer au concours de beauté Miss France.
162,175,Peplum: la folle histoire du mariage de Cléopâtre,2019,Comédie | Histoire,"Faustus, advisor to Emperor Maximus, is at the end of his rope. He's promised freedom if he succeeds in marrying his boss off to Cleopatra, Queen of Egypt. On the papyrus, it's a simple plan, but when the equation combines famine, uprisings, Christians, strikers, putschists and two temperamental people to marry off... it's no simple plan.",7.0,4.0,0.2547,90.0,,https://image.tmdb.org/t/p/w500/gbTgdlsnqQ2n604PJ2dH3kalIHX.jpg,613584,0.0,0.0,"Faustus, conseiller de l'empereur Maxime, est à bout de souffle. Il lui a promis la liberté s'il réussit à marier son patron à Cléopâtre, reine d'Egypte. Sur le papyrus, c'est un plan simple, mais quand l'équation combine famine, soulèvements, chrétiens, grévistes, putschistes et deux capricieux à marier... ce n'est pas un plan simple."
163,176,Nous sommes tous encore ici,1997,Comédie | Drame | Romance,"Two housewives discuss philosophical themes (actually an updated dialogue between Plato and Socrates) while doing the house work. The husband of one of them rehearses his part in a theatrical play, reading a 20th century philosophical text about totalitarianism.",7.0,5.0,0.7281,80.0,,https://image.tmdb.org/t/p/w500/cSSArAVfN0bGa55HmFdZcLXjKEB.jpg,352249,0.0,0.0,Deux femmes au foyer discutent de thèmes philosophiques (en fait un dialogue actualisé entre Platon et Socrate) tout en effectuant les travaux ménagers. Le mari de l'une d'elles répète son rôle dans une pièce de théâtre en lisant un texte philosophique du XXe siècle sur le totalitarisme.
164,177,Witz,2019,Drame | Comédie,"Stella is a failed actress who loses her ability to laugh after sustaining a brain injury. Without humor, she feels she 'cant function anymore. Her neurologist advices her to meet Frank, a geologist-driller-blaster who works in a stone quarry and suffers from the same syndrome...",7.0,2.0,0.1226,80.0,https://www.youtube.com/watch?v=HsGuYZNjFI0,https://image.tmdb.org/t/p/w500/2PcOpwLIIToZltmO95uvSC8CrsH.jpg,616821,0.0,0.0,"Stella est une actrice ratée qui perd sa capacité à rire après avoir subi une lésion cérébrale. Sans humour, elle a l'impression qu'elle « ne peut plus fonctionner ». Son neurologue lui conseille de rencontrer Frank, un géologue-foreur-blaster qui travaille dans une carrière de pierre et souffre du même syndrome..."
165,178,Juste une illusion,2026,Comédie | Drame,"1985. Vincent, almost 13, lives in the suburbs of Paris in a middle-class family, between a distant older brother and parents in constant conflict. Although he is no longer a child and not yet an adult, the film follows his reflections and doubts about identity, friendship, family, and his questions about religion, desire, and love.",7.122,82.0,6.1269,116.0,https://www.youtube.com/watch?v=89vZB1n-gR4,https://image.tmdb.org/t/p/w500/eWPq3wSvJEMakESTXzaBECUNBYr.jpg,1404684,0.0,0.0,"1985. Vincent, presque 13 ans, vit en banlieue parisienne dans une famille bourgeoise, entre un frère aîné éloigné et des parents en conflit constant. Bien qu'il ne soit plus un enfant ni encore un adulte, le film suit ses réflexions et ses doutes sur l'identité, l'amitié, la famille, ainsi que ses questions sur la religion, le désir et l'amour."
166,179,Bac + 70,2007,Comédie,"18-year-old Alice decides to drop out of school just before the final exams and go to work for her baker grandfather Louis, who never could afford to get an education yet it's something he has dreamed of.",7.1,4.0,0.2524,90.0,,https://image.tmdb.org/t/p/w500/5zhJh9i2mUkojyyhjvYGRTmSdaO.jpg,356642,0.0,0.0,"Alice, 18 ans, décide d'abandonner ses études juste avant les examens finaux et d'aller travailler chez son grand-père boulanger Louis, qui n'a jamais pu se permettre de faire des études et pourtant c'est quelque chose dont il rêve."
167,180,À bicyclette !,2025,Comédie | Drame,"From the Atlantic to the Black Sea, Mathias and Philippe, two old friends, embark on a bicycle journey that Mathias’s son made before his tragic death. The two men ride through the ordeals with tenderness, humor and emotion.",7.172,100.0,0.8588,90.0,https://www.youtube.com/watch?v=mYzmhFvvS40,https://image.tmdb.org/t/p/w500/84j57nt48tBB2521lEBfQq9HARQ.jpg,1321412,0.0,0.0,"De l’Atlantique à la mer Noire, Mathias et Philippe, deux vieux amis, se lancent dans un voyage à vélo qu’a effectué le fils de Mathias avant sa mort tragique. Les deux hommes traversent les épreuves avec tendresse, humour et émotion."
168,181,Le Hobbit : Le Retour du Roi du Cantal,2015,Aventure | Comédie,"Cantal is attacked by Puy-de-Dôme. King Thorin cannot face them alone. Accompanied by Bilbon the Hobbit and Gandalf the Wizard, he must roam Cantal in search of allies. Will the villagers of Boisset come to their aid? Will the Lord of Marcolès rally behind their cause? And on which side does the Lord of Aurillac truly stand?",7.6,12.0,0.268,65.0,https://www.youtube.com/watch?v=_3ulQD_RX5A,https://image.tmdb.org/t/p/w500/zzvnyLZjsI6RN5qETxb4YuI4FlN.jpg,357073,8000.0,0.0,"Le Cantal est attaqué par le Puy-de-Dôme. Le roi Thorin ne peut pas les affronter seul. Accompagné de Bilbon le Hobbit et de Gandalf le Magicien, il doit parcourir le Cantal à la recherche d'alliés. Les villageois de Boisset viendront-ils à leur secours ? Le seigneur de Marcolès se ralliera-t-il à leur cause ? Et de quel côté se situe réellement le seigneur d’Aurillac ?"
169,182,L'Astronaute,2023,Comédie | Drame,"An aeronautical engineer at Ariane Espace, Jim has devoted himself for years to a secret project: building his own rocket and accomplishing the first manned space flight as an amateur. But to realize his dream, he must learn to share it.",7.1,84.0,0.5751,110.0,https://www.youtube.com/watch?v=Rii1GV4MoAU,https://image.tmdb.org/t/p/w500/oWlujFryYpoogVwKhAnnHOV9Uis.jpg,881693,0.0,0.0,"Ingénieur aéronautique chez Ariane Espace, Jim se consacre depuis des années à un projet secret : construire sa propre fusée et réaliser le premier vol spatial habité en amateur. Mais pour réaliser son rêve, il doit apprendre à le partager."
170,185,Placés,2022,Comédie | Drame,"Because he forgot his identity card, Elias cannot take the entrance exam to Sciences Po. In search of a job while waiting to be able to take the exam again, he becomes an educator in a children's home. Confronted with an environment he doesn't know how to work, Elias doesn't yet know how much this experience will change his life.",7.2,57.0,0.3252,111.0,https://www.youtube.com/watch?v=7CQm9ubIUCc,https://image.tmdb.org/t/p/w500/epKakliobTsoCDMqGSKGpy3RGbx.jpg,886953,0.0,0.0,"Parce qu'il a oublié sa carte d'identité, Elias ne peut pas passer le concours d'entrée à Sciences Po. A la recherche d'un emploi en attendant de pouvoir repasser l'examen, il devient éducateur dans un foyer pour enfants. Confronté à un environnement dans lequel il ne sait pas travailler, Elias ne sait pas encore à quel point cette expérience va changer sa vie."
171,186,Nous trois ou rien,2015,Drame | Comédie,"An Iranian family survives the shah and the ayatollah and moves to France. This story follows the family through it all. Despite the politics, revolution, prison, beatings, assassinations and suicides this is a comedy.",7.5,501.0,0.6906,102.0,https://www.youtube.com/watch?v=jTpPcZQkAw8,https://image.tmdb.org/t/p/w500/aPYtRdJwt85OgZIUBZ5tHgmfyCO.jpg,364137,0.0,0.0,"Une famille iranienne survit au shah et à l'ayatollah et s'installe en France. Cette histoire suit la famille à travers tout cela. Malgré la politique, la révolution, la prison, les coups, les assassinats et les suicides, c'est une comédie."
172,187,"Georges, Le Petit Curieux - Singe Royal",2019,Animation | Aventure | Comédie | Familial,"Join your favorite monkey as he takes on his most regal role yet in the all-new movie, Curious George: Royal Monkey. After disrupting a meeting with a stuffy royal family, George accidentally trades places with the king's snooty monkey, Philippe. While Philippe puzzles Ted with his flawless manners, George travels to the castle where his fun-loving antics raise eyebrows and bring shy Princess Isabel out of her shell. Featuring all-new music from Andy Grammer, this king-sized adventure reminds us all that doing what you love is the key to happiness.",7.6,100.0,1.3342,89.0,,https://image.tmdb.org/t/p/w500/8FIw6AoEToSL4lXNWAuHIcy1Cyr.jpg,627093,0.0,0.0,"Rejoignez votre singe préféré alors qu'il assume son rôle le plus royal à ce jour dans le tout nouveau film Curious George : Royal Monkey. Après avoir perturbé une réunion avec une famille royale étouffante, George échange accidentellement sa place avec le singe arrogant du roi, Philippe. Tandis que Philippe intrigue Ted avec ses manières impeccables, George se rend au château où ses pitreries amusantes font sourciller et font sortir la timide princesse Isabel de sa coquille. Mettant en vedette la toute nouvelle musique d'Andy Grammer, cette aventure grandeur nature nous rappelle à tous que faire ce que l'on aime est la clé du bonheur."
173,188,Un p'tit truc en plus,2024,Comédie | Familial,"To escape the police, a father and his son are forced to find refuge in a summer camp for young adults with mental disabilities, taking on the role of an educator and a boarder. The beginning of troubles and a wonderful human experience that will change them forever.",7.104,831.0,3.8255,99.0,https://www.youtube.com/watch?v=5hIJBQ3YD5g,https://image.tmdb.org/t/p/w500/uIlJ1wOlEt5K3NowJQDG4qscQAC.jpg,1152014,6400000.0,84058132.0,"Pour échapper à la police, un père et son fils sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes handicapés mentaux, endossant le rôle d'éducateur et de pensionnaire. Le début de troubles et une merveilleuse expérience humaine qui les changera à jamais."
174,189,Portraits chinois,1996,Drame | Comédie,"Ada and Lise are both costume designers, the first is around 20, the other around 30. Both are working hard on their break through. There are also jobs for the movies. This is where Lise meets producer Alphonse, who is nearly 20 years older than she. Because he is unhappy with his girlfriend a secret relationship evolves. Ada has problems as well, but she's not the only one. There are also the young Emma and Nina, as well as Yves and Guido - enough people to get into complicated relationship entanglements.",7.4,8.0,0.4025,106.0,,https://image.tmdb.org/t/p/w500/jJHbhLMXfdJloeqWCdmBPoTqLPD.jpg,104103,0.0,0.0,"Ada et Lise sont toutes deux costumières, la première a une vingtaine d'années, l'autre une trentaine d'années. Toutes deux travaillent dur pour percer. Il y a aussi des emplois pour le cinéma. C'est là que Lise rencontre le producteur Alphonse, qui a près de 20 ans de plus qu'elle. Parce qu'il n'est pas satisfait de sa petite amie, une relation secrète se développe. Ada a aussi des problèmes, mais elle n'est pas la seule. Il y a aussi les jeunes Emma et Nina, ainsi qu'Yves et Guido - suffisamment de personnes pour se lancer dans des enchevêtrements relationnels compliqués."
175,190,Les Dissociés,2015,Comédie,"One morning, Lily and Ben wake up side by side in bodies that are not theirs. And Magalie, a little girl in the body of a tall, bearded, awaits them in the guest room. This is the beginning of an incredible adventure, sometimes initiatory, where the bodies and identities will be reversed at the option of a simple hug.",7.295,198.0,0.3008,75.0,https://www.youtube.com/watch?v=gUlrl5lOftQ,https://image.tmdb.org/t/p/w500/sO1L1imez0iS1Alrhgir23b9nVn.jpg,366548,150000.0,0.0,"Un matin, Lily et Ben se réveillent côte à côte dans des corps qui ne sont pas les leurs. Et Magalie, une petite fille au corps de grand barbu, les attend dans la chambre d'amis. C'est le début d'une incroyable aventure, parfois initiatique, où les corps et les identités vont s'inverser au gré d'un simple câlin."
176,191,Comment c'est loin,2015,Comédie,"After ten years of doing nothing, Orel and Gringe are in their mid 30s and they struggle to finish their first rap album. Their texts are mostly sex jokes and booze stories and reflect the everyday life they have in a small town from France. The problem is that they never really finished a song and when their producers want to meet, they have to face a new challenge : finish their first song in the next 24h. Their old issues, the fear of failure, their alcoholic friends and annoying girlfriends won't help them to do so, or will they ?",7.0,688.0,0.3291,90.0,https://www.youtube.com/watch?v=_x9Xu25I_U4,https://image.tmdb.org/t/p/w500/jhZtyj9BYECjWVRKUJPQCNNYsMM.jpg,366564,2023920.0,0.0,"Après dix ans sans rien faire, Orel et Gringe ont la trentaine et peinent à terminer leur premier album de rap. Leurs textes sont pour la plupart des blagues sexuelles et des histoires d'alcool et reflètent la vie quotidienne qu'ils mènent dans une petite ville de France. Le problème c'est qu'ils n'ont jamais vraiment fini une chanson et lorsque leurs producteurs veulent se rencontrer, ils doivent relever un nouveau défi : terminer leur première chanson dans les 24 heures qui suivent. Leurs vieux problèmes, la peur de l'échec, leurs amis alcooliques et leurs copines agaçantes ne les y aideront pas, n'est-ce pas ?"
177,193,Les Deschiens - série moderne,2003,Comédie,,8.7,5.0,0.2837,73.0,,https://image.tmdb.org/t/p/w500/3Ef8hIYea0TQ9dkQbawCdFCq3pG.jpg,368745,0.0,0.0,
178,194,Une belle course,2022,Comédie | Drame,"A seemingly simple taxi ride across Paris evolves into a profound meditation on the realities of the driver, whose personal life is in shambles, and his fare, an elderly woman whose warmth belies her shocking past.",7.103,194.0,1.3123,91.0,https://www.youtube.com/watch?v=xWEUoDs3hyQ,https://image.tmdb.org/t/p/w500/bmS09aAOFfUZ7QdzchHbBRITqac.jpg,893372,2900000.0,0.0,"Un trajet en taxi apparemment simple à travers Paris se transforme en une profonde méditation sur les réalités du chauffeur, dont la vie personnelle est en ruine, et sur son tarif, une femme âgée dont la chaleur dément son passé choquant."
179,195,Dieudonné - En vérité,2019,Comédie,,7.5,4.0,0.0779,81.0,,https://image.tmdb.org/t/p/w500/2Scto5SInQy1JWgdo5e9MsN3wz7.jpg,631368,0.0,0.0,
180,196,H - Best Of,2005,Familial | Comédie,,7.7,13.0,0.2016,100.0,,https://image.tmdb.org/t/p/w500/cEPbhEuVUOZr4HNu3XDGjZaMYZj.jpg,369613,0.0,0.0,
181,197,Régis Laspales est Landru,2005,Familial | Comédie,,8.0,2.0,0.2305,107.0,,https://image.tmdb.org/t/p/w500/c79fVfEO3qzkjHX5crDL8Ny1RW5.jpg,369617,0.0,0.0,
182,198,Les Robins des bois - sont des cons et toujours des cons - Florilèges de sketches 1 et 2,2006,Familial | Comédie,,8.9,5.0,0.2577,196.0,,https://image.tmdb.org/t/p/w500/kMqut90pYj6kUagFwqKbdcbw82.jpg,369873,0.0,0.0,
183,199,Élie Kakou au Dôme de Marseille,2002,Comédie,"For his last show in Marseille, the city where he grew up, Elie Kakou brought together all the characters in his repertoire. From the unavoidable Granny Sarfati, at odds with her husband and daughter Fortunée, to Mongola, the former ""Clodette"", the comedian invited to a journey in his so particular universe, revisiting in no particular order the classics of the children's literature, the masterpieces of the French song and even the verses of the great Molière. A varied program, between great successes and new sketches, interspersed with choreography by Kamel Ouali.",8.5,2.0,0.0545,85.0,,https://image.tmdb.org/t/p/w500/3I9M6OMA3HoZOHFiz7BUKgK3Uba.jpg,373497,0.0,0.0,"Pour son dernier spectacle à Marseille, ville où il a grandi, Elie Kakou a réuni tous les personnages de son répertoire. De l'incontournable Mamie Sarfati, en rupture avec son mari et sa fille Fortunée, à Mongola, l'ancienne ""Clodette"", l'humoriste invité à un voyage dans son univers si particulier, revisitant dans le désordre les classiques de la littérature jeunesse, les chefs-d'œuvre de la chanson française ou encore les vers du grand Molière. Une programmation variée, entre belles réussites et nouveaux sketchs, entrecoupée de chorégraphies de Kamel Ouali."
184,200,Les Guignols - La Fiction,1999,Comédie | Téléfilm,"Like any other day, French Prime Minister Lionel Jopsin was about to go to Matignon but his driver is missing! He drives the car himself only to find out that every street of Paris is empty, everyone is gone!",7.5,4.0,0.3253,76.0,,https://image.tmdb.org/t/p/w500/ciJRnlhKgX9goIMWzU69YBRgIIE.jpg,373505,0.0,0.0,"Comme n'importe quel autre jour, le Premier ministre français Lionel Jopsin s'apprêtait à se rendre à Matignon mais son chauffeur a disparu ! Il conduit lui-même la voiture et découvre que toutes les rues de Paris sont vides, que tout le monde est parti !"
185,202,Le Prénom,2012,Comédie,"Vincent, a wealthy real estate agent, is invited to dinner by his sister Elizabeth and her husband Peter, both professors in Paris. Claude, a childhood friend and trombonist in a symphony orchestra, is also present. Vincent brings news from the prenatal examination of his and his wife Anna's unborn son.  The name chosen by the soon-to-be parents strongly offends the others for many reasons. The dispute between the guests quickly escalates and before long the resurgence of old grudges and hidden secrets is unavoidable...",7.323,1797.0,2.0863,109.0,https://www.youtube.com/watch?v=FX2ukwKgWlo,https://image.tmdb.org/t/p/w500/tliSwa0hIp1OHNJqbIwUun3Sxfq.jpg,112198,0.0,0.0,"Vincent, riche agent immobilier, est invité à dîner par sa sœur Elizabeth et son mari Peter, tous deux professeurs à Paris. Claude, ami d'enfance et tromboniste dans un orchestre symphonique, est également présent. Vincent apporte des nouvelles de l'examen prénatal de son fils à naître et de celui de sa femme Anna.  Le nom choisi par les futurs parents offense fortement les autres pour de nombreuses raisons. La dispute entre les invités s'intensifie rapidement et la résurgence de vieilles rancunes et de secrets cachés est inévitable..."
186,203,TOC TOC,2008,Comédie,The adventures and misadventures of a group of patients with OCD appointed at the same time.,7.5,10.0,0.1864,110.0,,https://image.tmdb.org/t/p/w500/m1Y3WMs0UDAvVd96lJ5373CUhMg.jpg,113533,0.0,0.0,Les aventures et mésaventures d'un groupe de patients atteints de TOC nommés en même temps.
